statefp,countyfp,area
"31","129",1491.364
"39","003",1053.739
"39","085",2536.109
"29","011",1545.503
"26","089",6558.347
"08","115",1422.950
"31","089",6261.284
"13","227",602.722
"28","069",1986.586
"17","083",977.749
"12","095",2598.283
"48","181",2536.108
"48","107",2335.377
"72","151",215.598
"40","003",2282.939
"21","193",887.354
"19","121",1455.983
"48","005",2239.580
"17","011",2262.409
"18","157",1303.394
"26","037",1488.116
"72","133",199.285
"37","131",1425.924
"46","081",2072.795
"08","059",
"20","035",2932.971
"51","045",852.564
"25","027",4090.011
"06","031",3604.047
"20","115",2470.156
"13","291",852.280
"22","053",1705.744
"08","037",4381.725
"29","209",1322.492
"16","069",2218.393
"13","113",516.245
"02","275",9004.373
"20","001",1308.786
"19","165",1531.597
"34","009",1606.587
"33","005",1887.956
"24","009",893.739
"35","043",
"40","147",1099.073
"48","323",3345.691
"37","163",2454.281
"47","163",1112.934
"56","011",7421.256
"18","139",1057.908
"29","195",1986.304
"24","003",1522.387
"54","101",1440.626
"17","155",445.844
"05","023",1532.969
"27","061",7583.201
"10","005",3098.720
"18","059",795.191
"29","097",1660.887
"53","061",5686.971
"17","125",1459.663
"53","077",11163.924
"48","213",2456.273
"18","087",1001.555
"13","225",391.913
"54","037",548.223
"48","439",2336.938
"28","123",1580.904
"18","083",1357.269
"31","047",2640.319
"30","027",11266.512
"06","069",3601.311
"30","039",4487.876
"26","165",1490.331
"51","173",1172.511
"27","059",1169.734
"48","467",2226.400
"34","029",2369.415
"17","141",1977.283
"20","027",1698.017
"29","025",1112.753
"21","013",935.288
"06","019",15568.750
"48","111",3898.276
"48","499",1801.903
"55","115",2355.325
"27","079",1227.185
"72","143",97.124
"24","025",1364.038
"55","015",1028.425
"53","049",3176.718
"02","013",
"36","055",3539.747
"15","007",
"28","103",1812.940
"41","065",6202.838
"47","189",1511.183
"36","095",1622.181
"54","049",806.829
"55","031",3832.342
"37","065",1312.780
"51","720",19.455
"40","087",1502.867
"72","149",95.921
"13","301",742.518
"30","085",6136.975
"53","015",3021.041
"37","197",874.729
"20","169",1868.191
"17","043",871.244
"31","059",1493.193
"02","016",
"21","139",886.641
"42","001",1351.172
"49","049",5553.512
"36","047",250.770
"21","219",976.571
"42","095",976.804
"39","029",1384.936
"12","083",4306.276
"17","097",3543.954
"08","063",5598.754
"47","091",783.964
"21","041",355.644
"47","139",1145.530
"38","075",2312.762
"48","451",3990.043
"19","135",1124.844
"45","033",1053.659
"31","065",1866.458
"38","025",5392.499
"26","023",1346.026
"21","191",730.165
"47","051",1491.188
"13","131",1192.078
"06","063",6768.789
"49","051",3127.583
"39","035",3225.904
"30","069",4336.976
"47","033",688.261
"35","051",10976.926
"31","123",3703.323
"20","019",1669.938
"01","111",1512.901
"30","091",4415.331
"45","091",1802.181
"18","175",1337.984
"16","025",2793.802
"54","041",1009.180
"40","119",1805.878
"21","179",1098.352
"51","570",20.242
"25","011",1876.520
"48","057",2674.592
"21","003",911.321
"38","099",3351.528
"47","129",1353.263
"08","027",1916.396
"18","111",1044.889
"05","049",1606.627
"16","033",4569.001
"27","105",1871.397
"16","053",1560.539
"05","015",1654.221
"18","179",958.938
"21","127",1087.970
"48","289",2798.791
"08","097",2520.578
"46","097",1481.272
"72","039",172.770
"51","133",739.715
"55","047",984.517
"13","013",421.992
"48","357",2378.124
"47","095",502.181
"01","125",3499.725
"51","145",679.365
"51","610",5.300
"39","119",1741.990
"38","011",3022.654
"48","417",2371.258
"36","039",1704.342
"19","011",1860.554
"37","083",1891.393
"20","023",2644.240
"48","169",2321.147
"06","027",26487.598
"29","023",1810.380
"05","059",1611.629
"19","129",1141.257
"28","161",1282.055
"22","039",1760.218
"06","013",2082.516
"31","141",1773.078
"48","325",3456.426
"09","013",1080.357
"08","079",2273.431
"18","043",385.934
"06","003",1924.850
"48","371",12340.809
"47","145",1022.986
"48","239",2219.286
"09","015",1349.956
"39","157",1480.050
"56","005",12448.303
"05","037",1611.767
"01","117",2096.651
"51","685",6.539
"30","003",12991.677
"31","165",5354.406
"48","089",2521.834
"40","065",2082.975
"22","067",2087.749
"18","109",1060.415
"13","285",1155.036
"06","023",10495.292
"51","183",1276.420
"35","041",6353.923
"40","045",3190.463
"34","035",789.825
"51","015",2514.246
"29","167",1663.844
"16","071",3109.264
"35","027",12513.086
"18","155",578.704
"33","003",2573.136
"20","109",2779.315
"55","025",3205.116
"38","037",4314.958
"26","067",1502.301
"12","105",5206.944
"29","007",1804.762
"45","029",2935.197
"05","055",1500.995
"21","103",754.002
"31","183",1490.777
"54","025",2653.468
"51","051",863.942
"51","520",
"17","197",2199.478
"48","117",3880.677
"29","047",1058.450
"19","057",1113.111
"34","011",1755.611
"48","021",2319.450
"21","125",1149.160
"29","115",1609.356
"48","387",2736.933
"13","051",1631.626
"30","055",6946.357
"45","061",1065.087
"36","121",1544.378
"51","690",28.510
"17","117",2247.342
"17","081",1512.041
"20","179",2321.166
"06","101",1575.787
"48","423",2459.768
"53","025",7229.816
"48","025",2280.056
"53","001",4998.164
"32","009",9295.603
"13","217",723.119
"34","019",1132.848
"47","021",795.357
"19","141",1484.602
"01","127",2085.441
"01","101",2071.763
"37","019",2718.304
"42","119",822.963
"19","183",1478.598
"47","151",1381.071
"30","019",3694.388
"19","167",1991.683
"36","071",2171.993
"08","049",4842.163
"39","175",1055.596
"19","029",1463.210
"05","137",1578.597
"32","001",13012.534
"09","007",1137.173
"20","039",2315.831
"39","115",1092.407
"20","111",2215.520
"37","109",789.590
"13","279",960.865
"18","171",948.987
"12","041",920.068
"51","595",18.047
"18","037",1127.509
"40","063",2110.037
"30","073",4251.590
"29","119",1397.767
"48","271",3535.651
"22","061",1223.704
"48","359",3888.677
"12","043",2555.837
"51","137",889.977
"01","095",1614.027
"17","053",1259.331
"51","079",405.545
"66","010",1477.893
"39","067",1063.880
"48","255",1951.680
"17","171",654.357
"36","113",2412.838
"55","129",2210.080
"13","037",734.463
"48","273",2823.614
"42","011",2242.292
"25","003",2451.309
"37","045",1212.489
"19","049",1532.253
"37","185",1150.733
"48","485",1639.104
"37","137",1454.607
"21","113",452.037
"47","055",1582.947
"20","191",3069.019
"13","311",627.442
"22","059",1715.590
"19","103",1613.727
"02","090",19256.412
"72","037",411.380
"45","041",2083.067
"27","003",1155.323
"24","045",1036.532
"08","123",
"42","067",1019.199
"26","107",1479.509
"48","075",1848.515
"21","227",1418.185
"19","051",1307.566
"12","075",3659.118
"29","169",1428.327
"31","009",1850.118
"48","151",2335.531
"13","069",1560.856
"19","083",1476.282
"45","037",1313.245
"33","015",2059.682
"48","405",1534.040
"18","085",1435.871
"48","199",2324.650
"36","099",1011.233
"54","071",1808.189
"41","055",2152.769
"29","215",3054.175
"05","119",2090.570
"40","023",2070.758
"53","071",3364.303
"48","263",2338.547
"30","099",5936.084
"37","053",1363.440
"18","029",796.167
"39","137",1254.328
"48","411",2948.517
"21","185",508.760
"38","065",1893.493
"50","027",2530.557
"15","001",13173.110
"26","083",15452.557
"45","065",1020.120
"30","061",3168.697
"18","133",1250.172
"13","317",1227.898
"13","035",487.024
"38","069",2803.573
"13","187",736.096
"51","199",556.488
"26","073",1496.231
"47","045",1363.715
"25","021",
"53","067",2004.885
"37","047",2473.434
"48","441",2380.989
"19","189",1040.444
"48","505",2740.248
"21","019",419.635
"47","101",731.640
"51","810",1288.516
"44","003",487.275
"29","143",1804.112
"53","059",4368.221
"31","109",2192.120
"48","327",2336.852
"13","171",481.309
"16","051",2863.786
"47","115",1326.958
"51","181",803.693
"56","013",23998.160
"27","095",1765.348
"08","017",4613.881
"16","045",1462.288
"26","153",4879.356
